Nombre,SKU/Referencia,Descripción
"Bandeja Eco Kraft 300 ML","BAN-300","Bandeja ecológica de papel kraft para ensaladas"
"Bandeja Eco Kraft 500 ML","BAN-500","Bandeja ecológica de papel kraft tamaño mediano"
"Bandeja Eco Kraft 750 ML","BAN-750","Bandeja ecológica de papel kraft tamaño grande"
"Caja Pizza 32cm","CAJA-PIZ-32","Caja de cartón corrugado para pizzas de 32 cm"
"Caja Pizza 40cm","CAJA-PIZ-40","Caja de cartón corrugado para pizzas de 40 cm"
"Vaso Plástico 250 ML","VASO-250","Vaso transparente desechable pequeño"
"Vaso Plástico 500 ML","VASO-500","Vaso transparente desechable mediano"
"Tapa Vaso 250 ML","TAPA-V-250","Tapa para vaso de 250 ml"
"Tapa Vaso 500 ML","TAPA-V-500","Tapa para vaso de 500 ml"
"Cubiertos Set Completo","CUB-SET","Set de tenedor, cuchillo y cuchara desechables"
"Servilletas Pack 50","SERV-50","Pack de 50 servilletas de papel"
"Bolsa Papel Kraft Grande","BOLSA-G","Bolsa de papel kraft con asas, tamaño grande"
"Bolsa Papel Kraft Mediana","BOLSA-M","Bolsa de papel kraft con asas, tamaño mediano"
"Bolsa Papel Kraft Pequeña","BOLSA-P","Bolsa de papel kraft con asas, tamaño pequeño"
"Contenedor Hamburguesa","CONT-HAMB","Contenedor de cartón para hamburguesa"
"Contenedor Hot Dog","CONT-HOT","Contenedor de cartón para hot dog"
"Bowl Cartón 500 ML","BOWL-500","Bowl desechable de cartón para sopas"
"Bowl Cartón 750 ML","BOWL-750","Bowl desechable de cartón para sopas grande"
"Tapa Bowl 500 ML","TAPA-B-500","Tapa transparente para bowl de 500 ml"
"Tapa Bowl 750 ML","TAPA-B-750","Tapa transparente para bowl de 750 ml"
"Caja Hamburguesa Kraft","CAJA-HAMB-K","Caja kraft con ventana para hamburguesa"
"Caja Wrap","CAJA-WRAP","Caja de cartón para wraps y burritos"
"Vaso Café 8oz","VASO-CAFE-8","Vaso térmico para café de 8 onzas"
"Vaso Café 12oz","VASO-CAFE-12","Vaso térmico para café de 12 onzas"
"Tapa Café 8oz","TAPA-C-8","Tapa para vaso de café de 8 onzas"
"Tapa Café 12oz","TAPA-C-12","Tapa para vaso de café de 12 onzas"
"Plato Plástico Pequeño","PLATO-P","Plato desechable pequeño de plástico"
"Plato Plástico Grande","PLATO-G","Plato desechable grande de plástico"
"Cuchillo Plástico","CUCH-PL","Cuchillo desechable de plástico"
"Tenedor Plástico","TEN-PL","Tenedor desechable de plástico"
"Cuchara Plástico","CUCH-PL","Cuchara desechable de plástico"
"Caja Ensalada Grande","CAJA-ENS-G","Caja transparente para ensaladas con tapa"
"Caja Ensalada Mediana","CAJA-ENS-M","Caja transparente para ensaladas mediana"
"Recipiente Salsa 30ml","SALSA-30","Recipiente pequeño para salsas de 30ml"
"Recipiente Salsa 60ml","SALSA-60","Recipiente mediano para salsas de 60ml"
"Recipiente Salsa 120ml","SALSA-120","Recipiente grande para salsas de 120ml"
"Vaso Smoothie 400ml","VASO-SM-400","Vaso para smoothies con tapa de cúpula"
"Vaso Smoothie 600ml","VASO-SM-600","Vaso grande para smoothies con tapa de cúpula"
"Pajita Papel","PAJITA-P","Pajita biodegradable de papel"
"Pajita Plástico","PAJITA-PL","Pajita de plástico transparente"
"Caja Sushi Grande","CAJA-SUSHI-G","Caja negra para sushi, tamaño grande"
"Caja Sushi Mediana","CAJA-SUSHI-M","Caja negra para sushi, tamaño mediano"
"Film Transparente Rollo","FILM-ROLL","Rollo de film transparente para envolver"
"Papel Aluminio Rollo","ALUM-ROLL","Rollo de papel aluminio para envolver"
"Bandeja Aluminio 1kg","BAND-AL-1","Bandeja de aluminio desechable de 1 kg"
"Bandeja Aluminio 2kg","BAND-AL-2","Bandeja de aluminio desechable de 2 kg"
"Tapa Aluminio 1kg","TAPA-AL-1","Tapa de aluminio para bandeja de 1 kg"
"Tapa Aluminio 2kg","TAPA-AL-2","Tapa de aluminio para bandeja de 2 kg"
"Bolsa Congelación Grande","BOLSA-CONG-G","Bolsa plástica para congelación grande"
"Bolsa Congelación Pequeña","BOLSA-CONG-P","Bolsa plástica para congelación pequeña"
"Caja Delivery Térmica","CAJA-TERM","Caja térmica para delivery de comida caliente"
